data;real;estatico;retreino;unidade;modelo
2025-10-01;140.0;163.0;136.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-02;155.0;143.0;144.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-03;127.0;136.0;124.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-06;167.0;204.0;170.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-07;165.0;188.0;170.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-08;176.0;159.0;161.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-09;149.0;139.0;129.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-10;132.0;140.0;125.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-13;159.0;160.0;178.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-14;145.0;157.0;178.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-15;159.0;147.0;119.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-16;131.0;134.0;162.0;ANJO DA GUARDA;DecisionTreeRegressor
2025-10-02;151.0;136.0;136.0;BACABAL;DecisionTreeRegressor
2025-10-03;123.0;132.0;132.0;BACABAL;DecisionTreeRegressor
2025-10-06;151.0;148.0;148.0;BACABAL;DecisionTreeRegressor
2025-10-07;154.0;175.0;171.0;BACABAL;DecisionTreeRegressor
2025-10-08;145.0;138.0;148.0;BACABAL;DecisionTreeRegressor
2025-10-09;115.0;138.0;126.0;BACABAL;DecisionTreeRegressor
2025-10-10;95.0;130.0;123.0;BACABAL;DecisionTreeRegressor
2025-10-13;136.0;139.0;149.0;BACABAL;DecisionTreeRegressor
2025-10-14;125.0;139.0;139.0;BACABAL;DecisionTreeRegressor
2025-10-15;132.0;131.0;101.0;BACABAL;DecisionTreeRegressor
2025-10-16;114.0;130.0;136.0;BACABAL;DecisionTreeRegressor
2025-10-01;108.0;109.0;112.0;CHAPADINHA;DecisionTreeRegressor
2025-10-02;118.0;117.0;121.0;CHAPADINHA;DecisionTreeRegressor
2025-10-03;133.0;107.0;102.0;CHAPADINHA;DecisionTreeRegressor
2025-10-06;128.0;127.0;127.0;CHAPADINHA;DecisionTreeRegressor
2025-10-07;121.0;110.0;120.0;CHAPADINHA;DecisionTreeRegressor
2025-10-08;147.0;117.0;119.0;CHAPADINHA;DecisionTreeRegressor
2025-10-09;106.0;113.0;113.0;CHAPADINHA;DecisionTreeRegressor
2025-10-10;97.0;90.0;104.0;CHAPADINHA;DecisionTreeRegressor
2025-10-13;106.0;99.0;88.0;CHAPADINHA;DecisionTreeRegressor
2025-10-14;123.0;140.0;88.0;CHAPADINHA;DecisionTreeRegressor
2025-10-15;87.0;55.0;55.0;CHAPADINHA;DecisionTreeRegressor
2025-10-16;99.0;112.0;117.0;CHAPADINHA;DecisionTreeRegressor
2025-10-01;262.0;313.0;313.0;COHAFUMA;DecisionTreeRegressor
2025-10-02;286.0;313.0;313.0;COHAFUMA;DecisionTreeRegressor
2025-10-03;257.0;264.0;258.0;COHAFUMA;DecisionTreeRegressor
2025-10-06;273.0;264.0;258.0;COHAFUMA;DecisionTreeRegressor
2025-10-07;297.0;441.0;441.0;COHAFUMA;DecisionTreeRegressor
2025-10-08;238.0;209.0;209.0;COHAFUMA;DecisionTreeRegressor
2025-10-09;238.0;209.0;273.0;COHAFUMA;DecisionTreeRegressor
2025-10-10;212.0;201.0;201.0;COHAFUMA;DecisionTreeRegressor
2025-10-13;237.0;220.0;220.0;COHAFUMA;DecisionTreeRegressor
2025-10-14;321.0;220.0;220.0;COHAFUMA;DecisionTreeRegressor
2025-10-15;311.0;319.0;319.0;COHAFUMA;DecisionTreeRegressor
2025-10-16;213.0;326.0;265.0;COHAFUMA;DecisionTreeRegressor
2025-10-01;262.0;214.0;214.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-02;372.0;235.0;223.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-03;245.0;279.0;274.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-06;244.0;195.0;195.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-07;410.0;243.0;243.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-08;372.0;253.0;253.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-09;269.0;264.0;292.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-10;202.0;207.0;207.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-13;241.0;228.0;244.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-14;337.0;291.0;291.0;IMPERATRIZ;DecisionTreeRegressor
2025-10-16;246.0;316.0;316.0;IMPERATRIZ;DecisionTreeRegressor
